replicate,cycle,fluorescence
0,0,51.27954835211036
0,1,53.13548199834241
0,2,55.91520657927403
0,3,62.57942393350427
0,4,64.78807962225643
0,5,82.49775487320403
0,6,107.83086396655415
0,7,150.63826264473585
0,8,234.91591607521025
0,9,350.2577646509331
0,10,572.717187944654
0,11,982.2513767280112
0,12,1690.0598801822564
0,13,2952.79589126909
0,14,5208.641861442364
0,15,9315.838135065098
0,16,16737.77411011386
0,17,30081.39506248782
0,18,54130.19805417282
0,19,97664.65827575365
0,20,176279.36610204502
0,21,318370.07939622825
0,22,574984.0691010684
0,23,1037813.2843651045
0,24,1869497.650025839
0,25,3355820.0735178203
0,26,5985338.412471304
0,27,10545457.680692153
0,28,18193076.517310757
0,29,30262999.936091125
0,30,47374788.24135646
0,31,67590090.37373228
0,32,85353270.51248457
0,33,95495176.2694995
0,34,98980954.62596373
0,35,99796975.73252942
1,0,51.279999375985454
1,1,51.09898394648554
1,2,52.741112542683815
1,3,51.8896633661728
1,4,57.00154799183651
1,5,72.20365089304731
1,6,89.94169161325567
1,7,112.89237683899452
1,8,168.2924779176192
1,9,265.8360615976785
1,10,416.5520529954012
1,11,692.5864943619325
1,12,1199.728631768241
1,13,2130.5589609408694
1,14,3781.8127660637597
1,15,6829.879877305092
1,16,12287.677180815945
1,17,22116.926031688316
1,18,39917.476446864326
1,19,72099.66646029933
1,20,130244.73073658059
1,21,235345.60516976006
1,22,425208.06127719703
1,23,768131.3560626392
1,24,1385574.0925171538
1,25,2492966.226673228
1,26,4462705.1826644605
1,27,7919279.256232822
1,28,13830620.276610218
1,29,23493735.664224368
1,30,38070310.40072489
1,31,57190707.36120579
1,32,77038533.86155845
1,33,91390151.35992943
1,34,97770145.34685475
1,35,99538470.92600885
2,0,50.22722014601236
2,1,57.835344238749784
2,2,59.71986210558853
2,3,59.622423671525155
2,4,67.13287448417245
2,5,68.90682943377568
2,6,107.78073547419574
2,7,142.66312408858295
2,8,215.46823069954524
2,9,343.601540370319
2,10,553.8235933034321
2,11,960.512622382707
2,12,1664.1006962271942
2,13,2938.71183179265
2,14,5270.393357556767
2,15,9435.737539575368
2,16,16917.479401688914
2,17,30413.107508708188
2,18,54930.34832264164
2,19,99202.38785727984
2,20,179276.684281855
2,21,324047.0802964018
2,22,585582.8917303175
2,23,1057036.514899345
2,24,1904011.1002874696
2,25,3417854.3887642613
2,26,6091873.6027652705
2,27,10728281.540105762
2,28,18490258.9016554
2,29,30711979.26947011
2,30,47968820.5374503
2,31,68211178.93821892
2,32,85793416.04561585
2,33,95674476.71240853
2,34,99030577.75361805
2,35,99810667.41494997
3,0,43.52673761513293
3,1,53.55570074245393
3,2,53.9696252368605
3,3,59.92795189238796
3,4,71.64090611664346
3,5,87.07967868892196
3,6,111.29558047269018
3,7,154.87792140431617
3,8,238.04571564353762
3,9,380.1343913616862
3,10,650.9082857391028
3,11,1141.9785098597142
3,12,2015.1113830379625
3,13,3602.3770137093784
3,14,6452.200949497885
3,15,11633.819582020104
3,16,20987.097392305954
3,17,38009.69468616593
3,18,68616.7405102812
3,19,124003.73304547265
3,20,224247.01272379968
3,21,405507.0209814086
3,22,733158.2354232741
3,23,1323092.0879731784
3,24,2381643.6355862604
3,25,4266941.506483069
3,26,7579384.159291859
3,27,13260314.370810835
